Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
Hon.	Cisneros	Gilbert		X	CA39	2021	1/11/2021	30011630
Hon.	Clark	Katherine M.		P	MA05	2021	3/2/2021	20018307
Hon.	Clay	Wm. Lacy		T	MO01	2021	4/2/2021	8217923
Hon.	Clay	Wm. Lacy		X	MO01	2021	4/15/2021	8217978
Hon.	Collins	Doug		T	GA09	2021	3/1/2021	10039511
	Compton	William Dakota		C	KY02	2021	4/21/2021	8217989
Hon.	Conaway	K. Michael		P	TX11	2021	1/22/2021	20018064
Hon.	Conaway	K. Michael		P	TX11	2021	3/25/2021	20018460
Hon.	Conaway	K. Michael		X	TX11	2021	1/21/2021	30011634
	Conerly	Chad		C	LA05	2021	2/16/2021	10039543
Hon.	Connolly	Gerald E.		P	VA11	2021	1/27/2021	20018084
Mr.	Cox	Terrence John (Tj)		X	CA21	2021	1/26/2021	30011638
	Crain	Mark Brewer		D	TN09	2021	3/11/2021	40003136
Hon.	Crenshaw	Daniel		P	TX02	2021	3/24/2021	20018373
Hon.	Cunningham	Joe		T	SC01	2021	2/21/2021	10039501
Hon.	Cunningham	Joe		X	SC01	2021	2/2/2021	30011643
Hon.	Curtis	John		P	UT03	2021	2/4/2021	20018140
Mr.	D'Agostino	Nicholas A.		D	NJ05	2021	4/20/2021	40003159
Hon.	Davidson	Warren		P	OH08	2021	3/25/2021	20017743
	Davis	Morris D Col		C	NC11	2021	3/25/2021	10039666
Hon.	Davis	Susan A.		T	CA53	2021	1/26/2021	10039440
Hon.	DelBene	Suzan K.		P	WA01	2021	1/13/2021	20017962
Hon.	DelBene	Suzan K.		P	WA01	2021	2/16/2021	20018128
Hon.	DelBene	Suzan K.		P	WA01	2021	3/17/2021	20018303
Hon.	DelBene	Suzan K.		P	WA01	2021	4/13/2021	20018499
Hon.	Dingell	Debbie		P	MI12	2021	1/13/2021	20017983
Hon.	Dingell	Debbie		P	MI12	2021	2/1/2021	20018112
Hon.	Dingell	Debbie		P	MI12	2021	3/10/2021	20018361
Hon.	Dingell	Debbie		P	MI12	2021	3/25/2021	20018459
Hon.	Dingell	Debbie		P	MI12	2021	4/1/2021	20018488
	Disanto	Delina		C	AZ04	2021	3/30/2021	10039687
Hon.	Doggett	Lloyd		P	TX35	2021	1/6/2021	20017977
Hon.	Doggett	Lloyd		P	TX35	2021	3/8/2021	20018349
Hon.	Doggett	Lloyd		P	TX35	2021	4/7/2021	20018533
Hon.	Dunn	Neal Patrick MD, Facs		P	FL02	2021	1/15/2021	20018007
Hon.	Dunn	Neal Patrick MD, Facs		P	FL02	2021	3/24/2021	20018369
	Egan	Michael C.		C	TX06	2021	4/2/2021	10039706
	Eldon	Anthony W.		D	FL14	2021	1/28/2021	8217827
	Ellzey	John Kevin	Sr	C	TX06	2021	4/2/2021	10039702
Hon.	Evans	Dwight		P	PA03	2021	2/9/2021	20018181
Hon.	Finkenauer	Abby		T	IA01	2021	1/29/2021	10039472
Hon.	Fleischmann	Charles J. "Chuck"		P	TN03	2021	3/3/2021	8217884
Hon.	Flores	Bill		X	TX17	2021	4/15/2021	8217979
Hon.	Foxx	Virginia		P	NC05	2021	1/8/2021	20017967
Hon.	Foxx	Virginia		P	NC05	2021	2/1/2021	20018115
Hon.	Foxx	Virginia		P	NC05	2021	3/3/2021	20018306
Hon.	Foxx	Virginia		P	NC05	2021	4/7/2021	20018512
Hon.	Frankel	Lois		P	FL21	2021	1/21/2021	20018050
Hon.	Frankel	Lois		P	FL21	2021	2/25/2021	20018224
Hon.	Frankel	Lois		P	FL21	2021	3/26/2021	20018420
Hon.	Frankel	Lois		P	FL21	2021	4/23/2021	20018606
Mr.	Franklin	Scott		P	FL15	2021	3/26/2021	20018466
Hon.	Fudge	Marcia L.		E	OH11	2021	3/30/2021	8217913
Hon.	Gabbard	Tulsi		X	HI02	2021	2/3/2021	30011645
Hon.	Gallagher	Michael John		P	WI08	2021	4/6/2021	20018529
Hon.	Gibbs	Bob		P	OH07	2021	2/18/2021	20018238
Hon.	Gibbs	Bob		P	OH07	2021	4/9/2021	20018545
	Goenaga-Torres	Santiago David		D	CO05	2021	3/26/2021	8217916
Hon.	Gonzalez	Anthony E.		P	OH16	2021	2/12/2021	20018126
Hon.	Gonzalez	Anthony E.		P	OH16	2021	4/2/2021	20018383
Hon.	Gonzalez	Anthony E.		P	OH16	2021	4/23/2021	20018548
Hon.	Gottheimer	Josh		P	NJ05	2021	1/7/2021	20017973
Hon.	Gottheimer	Josh		P	NJ05	2021	2/9/2021	20018160
Hon.	Gottheimer	Josh		P	NJ05	2021	3/10/2021	20018333
Hon.	Gottheimer	Josh		P	NJ05	2021	4/21/2021	20018534
Hon.	Graves	Garret		P	LA06	2021	1/28/2021	20018091
